company_name|license_number|licensee_type_cd|licensee_type_cd|expiration_date|address1/city/state/zip|phone_number_type|phone|qualifying_individual|license_type2
GREENPOINT ROOFING|LIC-0010116|12|General Contractor|Class|D-2|Roofing|02/06/2016|500 COFFMAN ST STE 107 LONGMONT, CO 80501|720-684-5500|Scott Brasington
GUY ROOFING, INC|LIC-0010365|12|General Contractor|Class|D-2|Roofing|09/11/2015|201 JONES RD SPARTANBURG, SC 29307|864-578-4594|Herbert Guy|13|General Contractor|Class|D-3|Siding|09/11/2015
HCS RESTORATION & ROOFING LLC|LIC-0010026|12|General Contractor|Class|D-2|Roofing|09/03/2015|1716 MAIN ST STE A203 LONGMONT, CO 80501|720-442-5148|Brad Diepholz
HERITAGE ROOFING INC|LIC-0010317|12|General Contractor|Class|D-2|Roofing|07/17/2015|2270 W CHENANGO AVE STE 400 LITTLETON, CO|720-377-6277|David Garner
HIGH POINT ROOFING|LIC-0010231|12|General Contractor|Class|D-2|Roofing|05/16/2015|3525 AKERS DR STE 100 COLORADO SPRINGS, CO|719-375-8850|Angel Dudney
HORN BROTHERS ROOFING COMPANY|LIC-0003657|12|General Contractor|Class|D-2|Roofing|03/09/2016|2325 S JASON ST DENVER, CO 80223|303-356-8545|303-274-1111|Manuel Rocha
INDEPENDENT ROOFING SPECIALISTS|LIC-0009077|12|General Contractor|Class|D-2|Roofing|04/21/2015|LLC|303-426-8575|Jeremy Shull
INFINITY RESTORATION|LIC-0007641|12|General Contractor|Class|D-2|Roofing|04/19/2016|2690 W MAIN ST STE C LITTLETON, CO 80120|303-816-1888|Derek Lindsey
INTEGRITY ROOFING SERVICES LTD|LIC-0008638|12|General Contractor|Class|D-2|Roofing|06/17/2015|301 KALAMATH ST #101 DENVER, CO 80223|303-623-9333|Richard Estess Jr
INTEGROUS ROOFING &|LIC-0010328|12|General Contractor|Class|D-2|Roofing|07/25/2015|RESTORATION INC|303-524-5926|Keith Jacob
INTERSTATE ROOFING INC|LIC-0007098|12|General Contractor|Class|D-2|Roofing|06/25/2015|1050 W 47TH AVE DENVER, CO 80211|303-763-9114|Scott Riopelle
J & P ROOFING INC|LIC-0001095|12|General Contractor|Class|D-2|Roofing|12/03/2015|PO BOX 938 BOULDER, CO 80306|303-287-7666|Joseph Wheless
J M ENTERPRISES LLC|LIC-0009814|12|General Contractor|Class|D-2|Roofing|03/27/2016|9685 MINERAL RD LONGMONT, CO 80504|720-255-4965|Joseph Montoya
J&K ROOFING|LIC-0003612|12|General Contractor|Class|D-2|Roofing|10/04/2015|13000 W 43RD DR GOLDEN, CO 80403|303-425-7531|Carolyn Dykhouse
JK ENDEAVORS, INC|LIC-0007702|12|General Contractor|Class|D-2|Roofing|01/06/2016|PO BOX 602 LOUISVILLE, CO 80027|720-320-5205|Jason Kolenda
JOHN'S CREATIVE ROOFING|LIC-0004132|12|General Contractor|Class|D-2|Roofing|03/24/2016|PMB 344 LONGMONT, CO 80504|303-702-9143|John Baker
JON WALTER ROOFING LLC|LIC-0007876|12|General Contractor|Class|D-2|Roofing|08/15/2015|1649 BAIN DR ERIE, CO 80516|303-828-5480|Jon Walter Olocki
K&H WINDOWS AND EXTERIORS|LIC-0001473|12|General Contractor|Class|D-2|Roofing|04/15/2015|5805 W 56TH AVE ARVADA, CO 80002|720-420-1727|303-421-7100|Ted Roland|13|General Contractor|Class|D-3|Siding|04/15/2015
KAPE ROOFING & EXTERIORS, INC|LIC-0006748|12|General Contractor|Class|D-2|Roofing|06/09/2015|12096 W 50TH PL WHEAT RIDGE, CO 80033|720-641-6768|303-922-7662|Chuck Cooper
KUDU ROOFING LLC|LIC-0009296|12|General Contractor|Class|D-2|Roofing|10/20/2015|13181 N HIGHLAND CIR LITTLETON, CO 80125|303-738-1032|Guy Mumford
LARSON CUSTOM CONTRACTING|LIC-0009924|12|General Contractor|Class|D-2|Roofing|07/21/2015|8990 FEDERAL BLVD #43 DENVER, CO 80260|720-775-2693|Edwin Larson
LEICK CONST|LIC-0010582|12|General Contractor|Class|D-2|Roofing|04/14/2015|16327 8TH MEAD, CO 80542|970-535-4826|Eric Leick
LIFETIME ROOFERS GUILD|LIC-0001905|12|General Contractor|Class|D-2|Roofing|04/07/2015|424 HOLBROOK ST ERIE, CO 80516|303-828-5380|Steven Clisset
LILOU|LIC-0010710|12|General Contractor|Class|D-2|Roofing|09/29/2015|6513 RED HILL RD BOULDER, CO 80302|303-919-7592|Melinda Hood
LOUSBERG CONTRACTING|LIC-0009590|09|General Contractor|Class|C|06/26/2015|7100 BROADWAY STE 1J DENVER, CO 80221|303-895-7968|Pam Lousberg|12|General Contractor|Class|D-2|Roofing|08/27/2015
M & R ROOFING, INC|LIC-0006147|12|General Contractor|Class|D-2|Roofing|07/14/2015|2706 W UNION AVE ENGLEWOOD, CO 80110|303-795-1400|Matt Robl
MADSKY ROOFING & RESTORATION|LIC-0010485|12|General Contractor|Class|D-2|Roofing|02/04/2016|LLC|855-623-7597|Gene Kroh
MAJESTIC EXTERIORS LLC|LIC-0010705|12|General Contractor|Class|D-2|Roofing|09/24/2015|225 UNION BLVD #150 LAKEWOOD, CO|303-325-7652|Jake Motzko|80228
MASTER ROOFING LLC|LIC-0009033|12|General Contractor|Class|D-2|Roofing|09/10/2015|4497 CR 44 JOHNSTOWN, CO 80534|303-550-6842|970-587-2178|Terry Keyes
MATHIESON ROOFING SERVICES|LIC-0003955|12|General Contractor|Class|D-2|Roofing|08/29/2015|7660 DYER RD LOUISVILLE, CO 80027|303-443-7931|Thomas Mathieson
MCC LTD|LIC-0010000|12|General Contractor|Class|D-2|Roofing|07/24/2015|7344 S ALTON WAY CENTENNIAL, CO 80112|303-221-1634|Chris Maness
MILE HIGH ROOFING INC|LIC-0010648|12|General Contractor|Class|D-2|Roofing|06/27/2015|1111 S TAOS WAY DENVER, CO 80223|720-353-4202|Scott Jeffrey
MORNINGSTAR CONSTRUCTION SVCS|LIC-0009618|12|General Contractor|Class|D-2|Roofing|01/12/2016|LLC|303-204-3305|David Watkins
MOUNTAIN ROOFING LLC|LIC-0009545|12|General Contractor|Class|D-2|Roofing|05/13/2015|24 LINDENWOOD LN LITTLETON, CO 80127|303-995-6433|Bruce Wank
MY ROOFER INC|LIC-0010603|12|General Contractor|Class|D-2|Roofing|05/12/2015|835 E 50TH AVE DENVER, CO 80216|303-788-1432|Thomas Cook
NATIONAL HOME IMPROVEMENT INC|LIC-0010064|12|General Contractor|Class|D-2|Roofing|10/08/2015|6732 W COAL MINE AVE #444 LITTLETON, CO 80123|303-979-4444|Steve Becker
NEEDHAM ROOF SYSTEMS INC|LIC-0010347|12|General Contractor|Class|D-2|Roofing|08/21/2015|6160 S SYRACUSE WAY STE 315 GEENWOOD|720-235-4422|John Needham
NIXON ROOFING|LIC-0008541|12|General Contractor|Class|D-2|Roofing|10/29/2015|2121 MCDOUGAL ST THORNTON, CO 80229|720-434-3476|Steve Nixon
NORTH WEST ROOFING|LIC-0008115|12|General Contractor|Class|D-2|Roofing|07/22/2015|2425 S COLORADO BLVD STE 280 DENVER, CO 80222|303-804-0303|Tom Brown
NORTHERN LIGHTS EXTERIORS|LIC-0009242|12|General Contractor|Class|D-2|Roofing|04/15/2016|11375 WELD COUNTY RD 23 FT LUPTON, CO 80621|303-776-5263|James Hooven
O'CONNOR ROOFING COMPANY|LIC-0006149|12|General Contractor|Class|D-2|Roofing|05/30/2015|1457 AMMONS ST #102 LAKEWOOD, CO 80214|303-462-3745|Mary Phillips
PREMIER ROOFING COMPANY|LIC-0007657|12|General Contractor|Class|D-2|Roofing|03/06/2016|2570 W 8TH AVE DENVER, CO 80204-3704|303-233-7663|303-952-6872|Luke Mickelson
PYRAMID/JENESIS ROOFING|LIC-0006120|12|General Contractor|Class|D-2|Roofing|01/17/2016|1125 S LIPAN ST DENVER, CO 80223|303-789-1505|Jennifer Petersen
QUALITY ROOFING CO|LIC-0008444|12|General Contractor|Class|D-2|Roofing|01/29/2016|2800 LOCUST ST DENVER, CO 80207|303-419-7276|Michael Robl
REITZ ROOFING INC|LIC-0008971|12|General Contractor|Class|D-2|Roofing|03/12/2016|11925 QUAY ST BROOMFIELD, CO 80020|303-466-0161|Bernard Reitz
REROOF AMERICA CONTRACTORS CO|LIC-0009317|12|General Contractor|Class|D-2|Roofing|09/30/2015|5790 YUKON ST STE 115 ARVADA, CO 80002|303-424-7663|John Wilshusen
RJI PROFESSIONALS INC|LIC-0010294|12|General Contractor|Class|D-2|Roofing|06/26/2015|13551 W 43RD DR UNIT Q GOLDEN, CO 80403|303-271-0100|Rob Theis
RM COMMERCIAL CONTRACTORS, LLC|LIC-0009218|08|General Contractor|Class|B|09/10/2015|806 TROY ST AURORA, CO 80011|720-350-6364|Allen George|12|General Contractor|Class|D-2|Roofing|04/30/2015
RMR EXTERIORS INC|LIC-0009620|12|General Contractor|Class|D-2|Roofing|12/17/2015|11407 W I-70 FRONTAGE RD N WHEAT RIDGE, CO|720-536-8253|Danny Jacobs
ROOF CHECK, INC|LIC-0001205|12|General Contractor|Class|D-2|Roofing|03/06/2016|1610 SKYWAY DR LONGMONT, CO 80504|303-678-0412|303-678-7828|Chris Cain
ROOF MASTERS OF COLORADO LLC|LIC-0009564|12|General Contractor|Class|D-2|Roofing|06/19/2015|1360 BLUEBELL AVE BOULDER, CO 80302|720-536-5585|Monica Hoffmann
ROOFCORP OF METRO DENVER|LIC-0009831|12|General Contractor|Class|D-2|Roofing|10/08/2015|1685 S COLORADO BLVD STE 240 DENVER, CO 80222|303-766-2444|Alan Parkes
ROOFING SERVICES INC|LIC-0009883|12|General Contractor|Class|D-2|Roofing|06/09/2015|7277 TORREY ST ARVADA, CO 80007|303-279-0344|Bill Steele
ROOFTOP ROOFING INC|LIC-0010666|12|General Contractor|Class|D-2|Roofing|07/29/2015|3333 S BANNOCK ST STE 215 ENGLEWOOD, CO 80110|303-997-4247|Philip Coutu
ROYAL CROWN BUILDERS, INC|LIC-0010627|12|General Contractor|Class|D-2|Roofing|06/03/2015|PO BOX 1419 ELIZABETH, CO 80107|303-646-9110|Sarah Burgett
RTP ROOFING COMPANY, INC|LIC-0006990|12|General Contractor|Class|D-2|Roofing|08/14/2015|4011 S FEDERAL BLVD SHERIDAN, CO 80110|303-791-2223|Ray Phillips
RUSTIC MOUNTAIN CUSTOM HOMES|LIC-0010323|12|General Contractor|Class|D-2|Roofing|03/24/2016|7429 W DAVID DR LITTLETON, CO 80128|720-315-3712|Nick Piszcek
SAVAGE CONSTRUCTION|LIC-0008595|12|General Contractor|Class|D-2|Roofing|05/24/2015|6359 XAVIER CT ARVADA, CO 800003|Jason Savage
SAVILLE ROOFING|LIC-0001943|12|General Contractor|Class|D-2|Roofing|04/17/2015|2456 OLEANDER CT LOVELAND, CO 80538-3307|720-352-7423|Sean Saville
SCHROEDER ROOFING, INC|LIC-0002950|12|General Contractor|Class|D-2|Roofing|07/24/2015|1300 N MONROE AVE LOVELAND, CO 80537|970-667-6777|Dale Hill
SCOTT'S ROOFING|LIC-0010618|12|General Contractor|Class|D-2|Roofing|03/18/2016|275 WANEKA PKWY LAFAYETTE, CO 80026|303-469-9287|Gary Nickell
SHIELD CONSTRUCTION & EXTERIORS|LIC-0008484|12|General Contractor|Class|D-2|Roofing|08/13/2015|2795 S SHOSHONE ST STE A ENGLEWOOD, CO 80110|303-646-3977|Mike Essary
SHOWCASE SERVICES, INC|LIC-0002102|09|General Contractor|Class|C|06/26/2007|260 S 112TH ST LAFAYETTE, CO 80026|303-465-4100|David Hammerle|12|General Contractor|Class|D-2|Roofing|04/12/2016|13|General Contractor|Class|D-3|Siding|12/07/2008
SIGNATURE SERVICES|LIC-0001157|12|General Contractor|Class|D-2|Roofing|07/21/2015|4240 19TH ST BOULDER, CO 80304|720-771-8673|Bradley Howe
SKY CONSULTING, LLC|LIC-0009663|12|General Contractor|Class|D-2|Roofing|03/20/2016|DBA AAA ROOFING & INS LONGMONT, CO 80501|208-585-7233|303-776-7452|Matthew Parsons
SKYLINE ROOFING|LIC-0009704|12|General Contractor|Class|D-2|Roofing|11/15/2015|8245 W I-25 FRONTAGE RD STE 5 FREDERICK, CO|303-944-7215|Steven Broda
SPECIAL T SERVICES LLC|LIC-0009954|12|General Contractor|Class|D-2|Roofing|06/26/2015|7711 LINDA LN DENVER, CO 80221|Bart Talmadge
STONE CREEK ROOFING & EXTERIORS|LIC-0009205|12|General Contractor|Class|D-2|Roofing|08/10/2015|1567 SKYWAY DR UNIT A LONGMONT, CO 80504|720-505-0413|303-772-5700|David Prestwich
SUNKLEEP ENTERPRISES|LIC-0010586|12|General Contractor|Class|D-2|Roofing|04/18/2015|84 PANORAMA DR MARBLE, CO 81623|970-963-2972|Terry Patten
SUPERIOR ROOFING, INC|LIC-0003803|12|General Contractor|Class|D-2|Roofing|06/16/2015|14700 E 39TH AVE AURORA, CO 80011|303-877-1420|Bruce Levey
TEAM CONSTRUCTION SERVICES INC|LIC-0010600|12|General Contractor|Class|D-2|Roofing|05/08/2015|PO BOX 620236 LITTLETON, CO 80162|303-287-0800|James Hendricks
TECHNICAL FOAM CORP|LIC-0003147|12|General Contractor|Class|D-2|Roofing|07/30/2015|12741 WOODLAND DR LONGMONT, CO 80504|303-230-2155|303-772-8269|Bill Rice
TECTA AMERICA COLORADO, LLC|LIC-0001073|12|General Contractor|Class|D-2|Roofing|10/09/2015|1881 W 13TH AVE DENVER, CO 80204|303-573-5953|John Cook
THE ROOF & GUTTER GUYS|LIC-0009196|12|General Contractor|Class|D-2|Roofing|01/23/2016|PO BOX 21469 DENVER, CO 80221|303-227-9100|Pat Deniro
THOMSEN ROOFING|LIC-0002032|12|General Contractor|Class|D-2|Roofing|07/08/2015|2263 LINDEN DR BOULDER, CO 80304|303-442-4031|Scott Thompsen
TICO'S ROOFING|LIC-0010462|12|General Contractor|Class|D-2|Roofing|11/27/2015|3307 S COLLEGE AVE STE 200-11 FORT COLLINS, CO|970-566-1884|Jake Herzanek
TILEY ROOFING, INC|LIC-0005025|12|General Contractor|Class|D-2|Roofing|10/25/2015|5399 FEDERAL BLVD DENVER, CO 80221|303-426-7370|Kirk Tiley
TOTAL HOME EXTERIORS|LIC-0009094|12|General Contractor|Class|D-2|Roofing|07/25/2015|4401 S TAMARAC PKWY C-115 DENVER, CO 80237|303-221-0543|Michael Rimkus
TRINITY CONSTRUCTION|LIC-0010749|12|General Contractor|Class|D-2|Roofing|11/14/2015|6140 S GUNCLUB RD K-6265 AURORA, CO 80016|720-648-7663|RACHELLE STARR
TUFF ROOF|LIC-0010168|12|General Contractor|Class|D-2|Roofing|09/15/2015|590 HWY 105 STE 184 MONUMENT, CO 80132|719-487-9000|James Moran
TURNER MORRIS, INC|LIC-0006292|12|General Contractor|Class|D-2|Roofing|02/24/2016|5054 MARSHALL ST ARVADA, CO 80002|303-431-1300|Tim Morris
VAN LIER ROOFING INC|LIC-0001398|12|General Contractor|Class|D-2|Roofing|04/01/2016|3869 WALNUT ST BOULDER, CO 80301|303-440-0510|Steve Van Lier
WATTLE & DAUB CONTRACTORS|LIC-0006126|12|General Contractor|Class|D-2|Roofing|05/31/2015|8 GIBBS RD LARAMIE, WY 82070|800-501-6724|Thomas Tisthammer
WEATHERCRAFT ROOFING|LIC-0010630|12|General Contractor|Class|D-2|Roofing|06/04/2015|1401 E BRIDGE ST BRIGHTON, CO 80601|720-685-7080|Pete Noonan
WEATHERSURE SYSTEMS, INC|LIC-0005148|12|General Contractor|Class|D-2|Roofing|04/08/2015|3333 S PLATTE RIVER DR ENGLEWOOD, CO 80110|303-781-5454|Phil Owens
WESTERN ROOFING, INC|LIC-0004378|12|General Contractor|Class|D-2|Roofing|09/30/2015|4896 VAN GORDON ST WHEAT RIDGE, CO 80033|303-279-4141|Curtis Nicholson
WHITE ROOFING, INC|LIC-0008749|12|General Contractor|Class|D-2|Roofing|07/01/2015|1408 W QUINCY AVE ENGLEWOOD, CO 80110|303-761-2255|William White
WOOD STREET BUILDERS|LIC-0010246|12|General Contractor|Class|D-2|Roofing|06/04/2015|6675 S LEMAY AVE FORT COLLINS, CO 80525|970-283-3233|David Luedtke
BOULDER VALLEY SIDING|LIC-0003613|13|General Contractor|Class|D-3|Siding|10/13/2015|109 GRANADA CT LONGMONT, CO 80501|303-447-9822|Patrick Cordes
CEDAR VALLEY EXTERIORS INC|LIC-0007062|12|General Contractor|Class|D-2|Roofing|03/08/2016|3369 COON RAPIDS BLVD COON RAPIDS, MN 55433|800-871-7115|763-755-2221|Jeff Hausmann|13|General Contractor|Class|D-3|Siding|03/08/2016
COLLINS COMPANIES|LIC-0008021|13|General Contractor|Class|D-3|Siding|08/27/2015|2016 CHERRY AVE RAPID CITY, SD 57701|605-348-5728|Gene Wittkowske
FRONT RANGE SIDING & REMODELING|LIC-0003884|13|General Contractor|Class|D-3|Siding|03/26/2016|CO|970-532-2841|Doug Heaton
GUY ROOFING, INC|LIC-0010365|12|General Contractor|Class|D-2|Roofing|09/11/2015|201 JONES RD SPARTANBURG, SC 29307|864-578-4594|Herbert Guy|13|General Contractor|Class|D-3|Siding|09/11/2015
K&H WINDOWS AND EXTERIORS|LIC-0001473|12|General Contractor|Class|D-2|Roofing|04/15/2015|5805 W 56TH AVE ARVADA, CO 80002|720-420-1727|303-421-7100|Ted Roland|13|General Contractor|Class|D-3|Siding|04/15/2015
OLDE ENGLISH MASONRY, INC|LIC-0010699|13|General Contractor|Class|D-3|Siding|09/16/2015|2900 N TORREYS PEAK DR SUPERIOR, CO 80027|303-469-6750|Gary Holt|28|Right-of-Way|09/16/2015
PAUL'S SIDING CONTRACTORS|LIC-0008128|13|General Contractor|Class|D-3|Siding|07/29/2015|1391 S VICTOR ST AURORA, CO 80012|720.280.7385|Jose Paz
PEAK STUCCO AND STONE|LIC-0009853|13|General Contractor|Class|D-3|Siding|04/19/2015|PO BOX 286 SEDALIA, CO 80135|303-424-9506|Paul Suter
SCOTTISH HOME IMPROVEMENTS LLC|LIC-0007688|09|General Contractor|Class|C|02/25/2016|14251 E FREMONT AVE CENTENNIAL, CO 80112|303-662-8150|Martin Faith|13|General Contractor|Class|D-3|Siding|04/08/2016
SEARS HOME IMPROVEMENT|LIC-0006086|13|General Contractor|Class|D-3|Siding|04/11/2016|PRODUCTS|303-248-4280|Russ Boyack
TLR & ASSOCIATES, INC|LIC-0008936|13|General Contractor|Class|D-3|Siding|10/31/2015|PO BOX 219 ERIE, CO 80516|303-921-3310|Todd Reed
1ST GREEN LAWNS|LIC-0008062|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|05/13/2015|12149 BASELINE RD LAFAYETTE, CO 80026|303.926.7260|Jim Baker
A BOULDER FALLS LANDSCAPE LLC|LIC-0010099|12|General Contractor|Class|D-2 Roofing|07/31/2015|4990 OSAGE DR APT D-3 BOULDER, CO 80303|20|Epifania Corrales|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|07/31/2015|General Contractor|Class|E Fences|07/31/2015
AMERICAN CIVIL CONSTRUCTORS|LIC-0003610|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|08/24/2015|4901 S WINDERMERE ST LITTLETON, CO 80120|303-730-4539|Jeff Croll|28|Right-of-Way|08/24/2015
APC CONSTRUCTION CO, LLC|LIC-0009060|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|03/20/2016|14802 W 44TH AVE GOLDEN, CO 80403|303-279-6611|Jeffrey Keller|28|Right-of-Way|03/20/2016
ARK SPRINKLER AND LANDSCAPING|LIC-0008803|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|09/10/2015|LLC|303-550-1619|John Hepp
BOWMAN CUSTOM LANDSCAPING, INC|LIC-0006178|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|03/20/2016|14710 WELD COUNTY RD 7 MEAD, CO 80542|303-579-8727|Roderick Bowman|28|Right-of-Way|03/20/2016
CEDAR & SOIL ARTISAN LANDSCAPES|LIC-0009002|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|06/03/2015|2242 LINCOLN ST LONGMONT, CO 80501|720-297-0880|Jason Johnson|20|General Contractor|Class|E Fences|06/03/2015
COCAL LANDSCAPE|LIC-0007303|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|08/12/2015|12570 E 39TH AVE DENVER, CO 80239|303-531-6876|303-399-7877|Jesus Medrano|28|Right-of-Way|12/02/2008
COKAN ENTERPRISES INC|LIC-0010536|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|02/28/2016|13831 COUNTY ROAD 22 FORT LUPTON, CO 80621|303.-227-9325|303-833-9763|Karla Ramirez|28|Right-of-Way|02/28/2016
COLORADO CLEANUP CORPORATION|LIC-0006571|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|09/10/2015|16 INVERNESS PL E ENGLEWOOD, CO 80112|303-841-3881|Brenda Elliott
COLORADO DESIGNSCAPES INC|LIC-0010723|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|10/09/2015|DBA DESIGNSCAPES COLORADO CENTENNIAL, CO|303-721-9003|Phil Steinhauer
COLT & STEEL CORPORATION|LIC-0010411|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|10/18/2015|650 S CHERRY ST STE 1240 DENVER, CO 80246|303-756-9735|Todd Gleason|28|Right-of-Way|02/21/2015
DESIGNS BY SUNDOWN INC|LIC-0010746|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|11/10/2015|4501 S SANTA FE DR ENGLEWOOD, CO 80110|303-789-4400|Philip Berry
ECOSCAPE ENVIRONMENTAL DESIGN|LIC-0008183|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|10/08/2015|PO BOX 704 BOULDER, CO 80306|303-447-2282|William Melvin
ENVIRONMENTAL DESIGNS INC|LIC-0007839|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|10/20/2015|12511 E 112TH AVE HENDERSON, CO 80640|720 312 2238|Shawn Ryan|20|General Contractor|Class|E Fences|10/20/2015
ENVIRONMENTAL LANDWORKS CO,|LIC-0010720|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|10/13/2015|INC|303-862-9480|William Chevalier|20|General Contractor|Class|E Fences|10/13/2015
FORD CONSTRUCTION|LIC-0004414|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|04/18/2015|3585 CLOVERLEAF DR BOULDER, CO 80304|303-818-3883|303-939-9759|Janaka Ford
FRONT RANGE EXCAVATING, INC|LIC-0960701|14|General Contractor|Class|D-4|Land,|Irrig,|Sitework|05/24/2015|5275 MARSHALL ST #206 ARVADA, CO 80002|303-940-3299|Jerry Wyatt|28|Right-of-Way|05/24/2015
GOODLAND CONSTRUCTION, INC|LIC-0980059|14|General Contractor|Class|D-4|Land,|Irrig,|Sitework|12/22/2015|760 NILE ST GOLDEN, CO 80401|303-278-8100|Louis Worland|28|Right-of-Way|12/03/2015
HORN CONSTRUCTION CORP|LIC-0010644|14|General Contractor|Class|D-4|Land,|Irrig,|Sitework|06/26/2015|4361 E 74TH AVE COMMERCE CITY, CO 80022|303-286-1800|David Horn
INNOVATIVE OUTDOOR DESIGNS LLC|LIC-0008439|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|04/07/2015|2770 ARAPAHOE RD STE 130-132 LAFAYETTE, CO|303-828-3429|Michael Thorne
J & S LANDSCAPE|LIC-0003233|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|09/21/2015|5047 ROGERS RD LONGMONT, CO 80503|303-651-6897|303-651-6897|Scott Haugland
JAMES MARTIN ASSOCIATES|LIC-0002918|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|06/02/2015|DBA LID LANDSCAPES BOULDER, CO 80301|303-440-7833|Philip Loughman|18|General Contractor|Class|D-8 Requires a|Permit|06/01/2012|28|Right-of-Way|06/02/2015|29|Sign Contractor A|09/28/2012
JERRI'S GARDENS|LIC-0010833|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|03/10/2016|1027 PINE ST #2 BOULDER, CO 80302|720-648-6575|Jerri Davis|20|General Contractor|Class|E Fences|03/10/2016
JOSE G MARTINEZ LANDSCAPING|LIC-0007845|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|10/08/2015|15002 SINGLETREE DR MEAD, CO 80542|970-535-0849|Jose Martinez|28|Right-of-Way|10/08/2015
K&D LANDSCAPE INC|LIC-0010633|09|General Contractor|Class|C|09/24/2015|4320 KIPLING ST WHEAT RIDGE, CO 80033|303-425-8963|Brandon Knight|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|06/10/2015|28|Right-of-Way|06/10/2015
KELLEY TRUCKING INC|LIC-0010821|10|General Contractor|Class|D-1 Demolition|& Moving|02/24/2016|6201 MCINTYRE ST GOLDEN, CO 80403|303-279-4150|John Kelley|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|02/24/2016|28|Right-of-Way|02/24/2016
LANDSCAPE CONCEPTS|LIC-0004404|14|General Contractor|Class|D-4 Land, Irrig,|Sitework|01/30/2016|CORPORATION|303-665-2353|Michael Frontczak
LER INC|LIC-0006059|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|08/20/2015|775 CANOSA CT DENVER, CO 80204|303-825-3435|Lee Renner|20|General Contractor|Class|E Fences|08/20/2015|28|Right-of-Way|08/20/2015
LIFESCAPE ASSOCIATES INC|LIC-0010165|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|02/13/2016|3002 WALNUT ST DENVER, CO 80205|303-831-8310|Michael Ransom
LIGHTNING VENTURES, INC|LIC-0005091|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|04/25/2015|1750 TOMAH RD LARKSPUR, CO 80118|303-694-3340|Anthony Falcone|28|Right-of-Way|08/11/2015
LONG LANDSCAPE, LTD|LIC-0008979|14|General Contractor|Class|D-4 Land, Irrig, Sitework|05/28/2015|PO BOX 1482 BOULDER, CO 80306|303-443-5432|Daniel Long
LONGS PEAK LAWN CARE, INC|LIC-0008851|14|General Contractor|Class|D-4 Land, Irrig, Sitework|09/22/2015|10755 TURNER BLVD LONGMONT, CO 80504|303-682-2857|970-481-6454|Mike DePriest
MATRIX GARDENS|LIC-0010569|14|General Contractor|Class|D-4 Land, Irrig, Sitework|04/03/2015|3980 BROADWAY SUITE 103, 109 BOULDER, CO 80304|303-443-0284|Alison Peck|28|Right-of-Way|04/03/2015
MR GREENTHUMB LLC|LIC-0010567|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|04/01/2015|6295 COUNTY RD 5 ERIE, CO 80516|720-436-9379|Devin Beck|20|General Contractor|Class|E Fences|04/01/2015
NAPP LANDSCAPE SERVICE INC|LIC-0001153|09|General Contractor|Class|C|03/11/2016|11749 N 75TH ST LONGMONT, CO 80503|303-651-0738|Thaddeus Napp|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|06/13/2015|20|General Contractor|Class|E Fences|06/13/2015|28|Right-of-Way|09/23/2015
NATIVE EDGE ASSOCIATES INC|LIC-0007068|14|General Contractor|Class|D-4 Land,|Irrig,|Sitework|07/03/2015|4625 N BROADWAY BOULDER, CO 80304|303-245-9166|Tom Sunderland|28|Right-of-Way|07/03/2015
NATURESCAPE INC|LIC-0008719|14|General Contractor|Class|D-4 Land, Irrig, Sitework|04/30/2015|DBA ALPINE GARDENS FORT COLLINS, CO 80525|970-226-2296|Jack Fetig
ONE EARTH LANDSCAPE, INC|LIC-0008353|14|General Contractor|Class|D-4 Land, Irrig, Sitework|04/16/2015|4901 JAY RD BOULDER, CO 80301|303-545-9231|James Zarka|15|General Contractor|Class|D-5 Detached Garage/Shed|09/18/2015|20|General Contractor|Class|E Fences|09/18/2015
